modelo,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,nse_mean,nse_std
BRITS-opt,0.1945,0.1669,0.1381,0.1216,0.6056,0.3721,0.6056,0.3721
BiGRU-opt,0.1859,0.1588,0.1315,0.1148,0.6205,0.353,0.6205,0.353
SAITS-opt,0.1874,0.1598,0.1325,0.1162,0.6024,0.3847,0.6024,0.3847
XGBoost-opt,0.1994,0.1737,0.1415,0.1277,0.6131,0.3587,0.6131,0.3587
