modelo,variable,lag,acf,pacf
SAITS-opt,evap,13,0.01986,0.01096
SAITS-opt,evap,14,0.00513,-0.00339
SAITS-opt,evap,15,-0.00116,-0.00762
SAITS-opt,evap,16,0.01013,0.00568
SAITS-opt,evap,17,0.00382,0.00112
SAITS-opt,evap,18,0.01636,0.01372
SAITS-opt,evap,19,0.02707,0.0213
SAITS-opt,evap,20,-0.00016,-0.0092
SAITS-opt,tmax,0,1.0,1.0
SAITS-opt,tmax,1,0.08673,0.08673
SAITS-opt,tmax,2,-0.00274,-0.01034
SAITS-opt,tmax,3,0.03714,0.03857
SAITS-opt,tmax,4,-0.00533,-0.01209
SAITS-opt,tmax,5,-0.00437,-0.00225
SAITS-opt,tmax,6,0.00315,0.00217
SAITS-opt,tmax,7,0.02243,0.02276
SAITS-opt,tmax,8,-0.00978,-0.01364
SAITS-opt,tmax,9,0.00361,0.0059
SAITS-opt,tmax,10,0.0098,0.00711
SAITS-opt,tmax,11,0.01148,0.01151
SAITS-opt,tmax,12,0.00205,-0.00023
SAITS-opt,tmax,13,0.01073,0.01017
SAITS-opt,tmax,14,0.00061,-0.00242
SAITS-opt,tmax,15,0.00181,0.00293
SAITS-opt,tmax,16,-0.01527,-0.01695
SAITS-opt,tmax,17,0.009,0.01199
SAITS-opt,tmax,18,0.00728,0.00468
SAITS-opt,tmax,19,-0.00103,-0.00046
SAITS-opt,tmax,20,0.03276,0.03163
SAITS-opt,tmin,0,1.0,1.0
SAITS-opt,tmin,1,0.12005,0.12005
SAITS-opt,tmin,2,0.00394,-0.01063
SAITS-opt,tmin,3,0.01532,0.01636
SAITS-opt,tmin,4,-0.00437,-0.00826
SAITS-opt,tmin,5,-0.01285,-0.01137
SAITS-opt,tmin,6,0.01561,0.01852
SAITS-opt,tmin,7,0.0124,0.00847
SAITS-opt,tmin,8,0.0212,0.0195
SAITS-opt,tmin,9,-0.00438,-0.01001
SAITS-opt,tmin,10,0.01508,0.01697
SAITS-opt,tmin,11,0.01397,0.01012
SAITS-opt,tmin,12,0.00529,0.00302
SAITS-opt,tmin,13,0.00926,0.00819
SAITS-opt,tmin,14,0.00922,0.00607
SAITS-opt,tmin,15,0.01166,0.0104
SAITS-opt,tmin,16,0.01167,0.00856
SAITS-opt,tmin,17,0.00357,0.00089
SAITS-opt,tmin,18,0.01379,0.01253
SAITS-opt,tmin,19,0.03559,0.03242
SAITS-opt,tmin,20,0.01001,0.0018
XGBoost-opt,precip,0,1.0,1.0
XGBoost-opt,precip,1,-0.10086,-0.10086
XGBoost-opt,precip,2,-0.00097,-0.01126
XGBoost-opt,precip,3,-0.04437,-0.04608
XGBoost-opt,precip,4,-0.01322,-0.02271
XGBoost-opt,precip,5,-0.00663,-0.01121
XGBoost-opt,precip,6,0.01812,0.01409
