variable,rmse,mae,mape,r2,nse,n_mcar,modelo,stat_orig,p_orig,stat_imp,p_imp,preserva_estacionariedad
precip,0.0233988045104829,0.0101573094725608,57980448.0,-0.0363800525665283,-0.0363800525665283,196368,GAIN,0.2287,0.1,0.2287,0.1,True
evap,0.0663090829451975,0.0499242879450321,309954.6875,0.5594857931137085,0.5594857931137085,100832,GAIN,0.1772,0.1,0.1772,0.1,True
tmax,0.7515115209091026,0.6072598099708557,150.3611297607422,0.4427952766418457,0.4427952766418457,195614,GAIN,0.4415,0.0593,0.4415,0.0593,True
tmin,0.5555840888908211,0.4440746009349823,113.78594970703124,0.7012299299240112,0.7012299299240112,195037,GAIN,0.1453,0.1,0.1453,0.1,True
