variable,rmse,mae,mape,r2,nse,n_mcar,modelo
precip,0.0225014955322455,0.008532235398888588,42451552.0,0.041583120822906494,0.041583120822906494,196368,VAE
evap,0.08146546443848172,0.06382113695144653,359740.4375,0.3350929021835327,0.3350929021835327,100832,VAE
tmax,0.44552543635380426,0.3273201286792755,93.32211303710938,0.8041658401489258,0.8041658401489258,195614,VAE
tmin,0.31788766469113794,0.238814577460289,72.16468048095703,0.9021896123886108,0.9021896123886108,195037,VAE
