variable,rmse,mae,mape,r2,nse,n_mcar,modelo,stat_orig,p_orig,stat_imp,p_imp,preserva_estacionariedad
precip,0.0220454302291324,0.0082130534574389,40241032.0,0.080040156841278,0.080040156841278,196368,SAITS,0.2287,0.1,0.1408,0.1,True
evap,0.0585756711089726,0.0411208905279636,172807.734375,0.6562454700469971,0.6562454700469971,100832,SAITS,0.1772,0.1,0.1689,0.1,True
tmax,0.4925490671007466,0.3640870451927185,104.32853698730467,0.7606450319290161,0.7606450319290161,195614,SAITS,0.4415,0.0593,0.4513,0.0551,True
tmin,0.3666447016068516,0.2747456133365631,84.01231384277344,0.869884729385376,0.869884729385376,195037,SAITS,0.1453,0.1,0.1535,0.1,True
