modelo,variable,stat_orig,p_orig,stat_imp,p_imp,preserva_estacionariedad
VAE,precip,0.2287,0.1,0.1276,0.1,True
VAE,evap,0.1772,0.1,0.1237,0.1,True
VAE,tmax,0.4415,0.0593,0.3714,0.0895,True
VAE,tmin,0.1453,0.1,0.1442,0.1,True
