variable,rmse,mae,mape,r2,nse,n_mcar,modelo,stat_orig,p_orig,stat_imp,p_imp,preserva_estacionariedad
precip,0.0223137878907291,0.0078883515670895,35637192.0,0.0575066208839416,0.0575066208839416,196368,BRITS,0.2287,0.1,0.2287,0.1,True
evap,0.0569325581942254,0.0397280417382717,276257.96875,0.6752603650093079,0.6752603650093079,100832,BRITS,0.1772,0.1,0.1772,0.1,True
tmax,0.4032892764806572,0.2878261208534241,80.09716033935547,0.8395363092422485,0.8395363092422485,195614,BRITS,0.4415,0.0593,0.4415,0.0593,True
tmin,0.2651148272446235,0.1913076937198639,53.913421630859375,0.9319692254066468,0.9319692254066468,195037,BRITS,0.1453,0.1,0.1453,0.1,True
