variable,rmse,mae,mape,r2,nse,n_mcar,modelo,stat_orig,p_orig,stat_imp,p_imp,preserva_estacionariedad
precip,0.0231654564006285,0.0095394551753997,50239612.0,-0.0158121585845947,-0.0158121585845947,196368,CSDI,0.2287,0.1,0.2287,0.1,True
evap,0.0595124287871221,0.0423887260258197,273532.84375,0.6451627016067505,0.6451627016067505,100832,CSDI,0.1772,0.1,0.1772,0.1,True
tmax,0.730299006848768,0.5626766681671143,98.27478790283205,0.4738072156906128,0.4738072156906128,195614,CSDI,0.4415,0.0593,0.4415,0.0593,True
tmin,0.5250072853400327,0.4183094799518585,81.59944915771484,0.7332108616828918,0.7332108616828918,195037,CSDI,0.1453,0.1,0.1453,0.1,True
