modelo,rmse,mae,mape,r2,nse
BRITS,0.1869,0.1317,8978395.9948,0.6261,0.6261
SAITS,0.235,0.172,10103507.0188,0.5917,0.5917
VAE,0.2168,0.1596,10702864.4811,0.5208,0.5208
CSDI,0.3345,0.2582,12628331.1795,0.4591,0.4591
GAIN,0.3492,0.2779,14572666.7086,0.4168,0.4168
