modelo,mae_evap,mae_precip,mae_tmax,mae_tmin,mape_evap,mape_precip,mape_tmax,mape_tmin,nse_evap,nse_precip,nse_tmax,nse_tmin,r2_evap,r2_precip,r2_tmax,r2_tmin,rmse_evap,rmse_precip,rmse_tmax,rmse_tmin
BRITS,0.0397,0.0079,0.2878,0.1913,276257.9688,35637192.0,80.0972,53.9134,0.6753,0.0575,0.8395,0.932,0.6753,0.0575,0.8395,0.932,0.0569,0.0223,0.4033,0.2651
CSDI,0.0424,0.0095,0.5627,0.4183,273532.8438,50239612.0,98.2748,81.5994,0.6452,-0.0158,0.4738,0.7332,0.6452,-0.0158,0.4738,0.7332,0.0595,0.0232,0.7303,0.525
GAIN,0.0499,0.0102,0.6073,0.4441,309954.6875,57980448.0,150.3611,113.7859,0.5595,-0.0364,0.4428,0.7012,0.5595,-0.0364,0.4428,0.7012,0.0663,0.0234,0.7515,0.5556
SAITS,0.0411,0.0082,0.3641,0.2747,172807.7344,40241032.0,104.3285,84.0123,0.6562,0.08,0.7606,0.8699,0.6562,0.08,0.7606,0.8699,0.0586,0.022,0.4925,0.3666
VAE,0.0638,0.0085,0.3273,0.2388,359740.4375,42451552.0,93.3221,72.1647,0.3351,0.0416,0.8042,0.9022,0.3351,0.0416,0.8042,0.9022,0.0815,0.0225,0.4455,0.3179
