variable,rmse,mae,mape,r2,nse,n_mcar,modelo,stat_orig,p_orig,stat_imp,p_imp,preserva_estacionariedad
precip,0.0219043989419366,0.0081413686275482,39545272.0,0.0917730331420898,0.0917730331420898,196368,BiGRU,0.2287,0.1,0.1581,0.1,True
evap,0.0554178233316511,0.0383044779300689,230037.6875,0.6923103928565979,0.6923103928565979,100832,BiGRU,0.1772,0.1,0.1518,0.1,True
tmax,0.3872577109729683,0.2747615873813629,78.48420715332031,0.8520402312278748,0.8520402312278748,195614,BiGRU,0.4415,0.0593,0.3787,0.0863,True
tmin,0.2510486454738915,0.1801724582910537,52.137451171875,0.9389967322349548,0.9389967322349548,195037,BiGRU,0.1453,0.1,0.1427,0.1,True
