variable,rmse,mae,mape,r2,nse,n_mcar,modelo
precip,0.02217413400630404,0.010134119540452957,59397188.0,0.06926721334457397,0.06926721334457397,196368,BiLSTM
evap,0.055859234032753155,0.03880632668733597,230560.515625,0.6873892545700073,0.6873892545700073,100832,BiLSTM
tmax,0.3895301734979829,0.2757773995399475,79.91751098632812,0.8502986431121826,0.8502986431121826,195614,BiLSTM
tmin,0.2530064116653126,0.18133442103862762,52.46574401855469,0.9380415678024292,0.9380415678024292,195037,BiLSTM
