modelo,rmse,mae,mape,r2,nse
XGBoost,0.1927,0.1364,6693917.5784,0.6455,0.6455
BiGRU,0.1789,0.1253,9943860.0773,0.6438,0.6438
BiLSTM,0.1801,0.1265,14906970.2247,0.6362,0.6362
Autoencoder,0.182,0.128,10105535.2941,0.6286,0.6286
Prophet,0.5521,0.4918,9891948.9629,-1.0105,-1.0105
SARIMA,0.5616,0.4206,7622538.6805,-3.9357,-3.9357
TBATS,0.6925,0.5669,9656918.192,-4.787,-4.787
ETS,0.9145,0.7815,3699728.0151,-5.1611,-5.1611
