variable,rmse,mae,mape,r2,nse,n_mcar,modelo,stat_orig,p_orig,stat_imp,p_imp,preserva_estacionariedad
precip,0.02220857646316933,0.008265253156423569,40165336.0,0.06637352705001831,0.06637352705001831,196368,Autoencoder,0.2287,0.1,0.1491,0.1,True
evap,0.05801377956127512,0.04113674536347389,256668.5,0.6628087759017944,0.6628087759017944,100832,Autoencoder,0.1772,0.1,0.1306,0.1,True
tmax,0.39170099836737926,0.27814656496047974,82.13835906982422,0.8486254811286926,0.8486254811286926,195614,Autoencoder,0.4415,0.0593,0.4095,0.0731,True
tmin,0.2560951369726899,0.18464542925357819,54.53792190551758,0.9365195035934448,0.9365195035934448,195037,Autoencoder,0.1453,0.1,0.1406,0.1,True
