variable,rmse,mae,mape,r2,nse,modelo,n_mcar,stat_orig,p_orig,stat_imp,p_imp,preserva_estacionariedad
precip,0.020762401690043963,0.006855727942695832,26593808.07582317,0.13943990261602135,0.1394399029733665,XGBoost,48075,1.5165,0.01,0.6277,0.0201,True
evap,0.05588237517810938,0.03805940852910524,181717.051306893,0.6890822093948002,0.6890822094072808,XGBoost,24803,1.2476,0.01,1.1833,0.01,True
tmax,0.41825810166443206,0.3020675344943308,88.28377511345143,0.8271015588552385,0.8271015588552747,XGBoost,47177,0.4483,0.0563,0.2961,0.1,True
tmin,0.27608982812347377,0.19855018582200892,56.90259867841186,0.9264675547600942,0.9264675547601092,XGBoost,47177,0.5365,0.0335,0.4968,0.0424,True
